"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NABIL","2016-10-16","1780","1800","1760","1770","-0.56","2605"
"NABIL","2016-10-17","1743","1780","1743","1774","0.23","4532"
"NABIL","2016-10-18","1774","1800","1746","1789","0.84","4476"
"NABIL","2016-10-19","1789","1795","1781","1790","0.06","3025"
"NABIL","2016-10-20","1780","1790","1775","1785","-0.28","4051"
"NABIL","2016-10-23","1785","1785","1762","1765","-1.12","8690"
"NABIL","2016-10-24","1770","1770","1740","1740","-1.42","10127"
"NABIL","2016-10-25","1740","1741","1702","1729","-0.63","2830"
"NABIL","2016-10-26","1744","1744","1705","1740","0.64","6550"
"NABIL","2016-10-27","1730","1755","1730","1755","0.86","3259"
"NABIL","2016-11-03","1760","1795","1760","1760","0.28","5932"
"NABIL","2016-11-07","1760","1760","1735","1739","-1.19","4023"
"NABIL","2016-11-08","1740","1758","1712","1725","-0.81","3671"
"NABIL","2016-11-09","1695","1716","1675","1708","-0.98","5692"
"NABIL","2016-11-10","1700","1710","1697","1700","-0.47","8482"
"NABIL","2016-11-13","1690","1720","1690","1703","0.18","9265"
"NABIL","2016-11-14","1703","1730","1703","1722","1.12","4633"
"NABIL","2016-11-15","1712","1725","1710","1716","-0.35","4705"
"NABIL","2016-11-16","1721","1721","1695","1695","-1.22","6094"
"NABIL","2016-11-17","1705","1705","1660","1670","-1.47","8823"
"NABIL","2016-11-20","1637","1650","1596","1632","-2.40","8592"
"NABIL","2016-11-21","1620","1680","1605","1635","0.31","5441"
"NABIL","2016-11-22","1635","1655","1605","1630","-0.31","7277"
"NABIL","2016-11-23","1626","1626","1596","1600","-1.84","8590"
"NABIL","2016-11-24","1605","1610","1589","1595","-0.31","6007"
"NABIL","2016-11-27","1583","1588","1540","1555","-2.51","4670"
"NABIL","2016-11-28","1525","1640","1450","1635","5.47","10412"
"NABIL","2016-11-29","1641","1655","1600","1655","0.91","7847"
"NABIL","2016-11-30","1640","1700","1640","1691","2.18","7451"
"NABIL","2016-12-01","1700","1734","1652","1674","-1.01","7265"
"NABIL","2016-12-04","1660","1670","1600","1670","-0.24","4200"
"NABIL","2016-12-05","1660","1690","1610","1639","-1.80","2489"
"NABIL","2016-12-06","1630","1650","1618","1638","-0.12","2942"
"NABIL","2016-12-07","1640","1640","1625","1634","-0.18","944"
"NABIL","2016-12-08","1621","1635","1616","1630","-0.31","2418"
"NABIL","2016-12-11","1615","1615","1600","1600","-1.84","2229"
"NABIL","2016-12-12","1600","1605","1590","1590","-0.62","3275"
"NABIL","2016-12-14","1600","1605","1575","1580","-0.63","3618"
"NABIL","2016-12-15","1575","1596","1565","1582","0.00","3144"
"NABIL","2016-12-18","1590","1590","1565","1575","-0.32","2536"
"NABIL","2016-12-19","1580","1581","1571","1580","0.32","6814"
"NABIL","2016-12-20","1580","1581","1565","1570","-0.63","4956"
"NABIL","2016-12-21","1550","1561","1530","1533","-2.36","2243"
"NABIL","2016-12-22","1540","1540","1524","1530","-0.20","4389"
"NABIL","2016-12-26","1506","1518","1500","1508","-1.44","5860"
"NABIL","2016-12-27","1483","1500","1421","1479","-1.92","3491"
"NABIL","2016-12-28","1480","1485","1450","1475","-0.27","6181"
"NABIL","2016-12-29","1485","1519","1481","1519","2.98","3186"
"NABIL","2017-01-01","1549","1548","1525","1530","0.72","3097"
"NABIL","2017-01-02","1550","1550","1525","1544","0.91","10617"
"NABIL","2017-01-03","1525","1550","1525","1525","-1.23","5907"
"NABIL","2017-01-04","1525","1529","1515","1515","-0.66","1430"
"NABIL","2017-01-05","1510","1520","1500","1505","-0.66","4175"
"NABIL","2017-01-08","1500","1510","1495","1510","0.33","2781"
"NABIL","2017-01-09","1520","1529","1510","1519","0.60","1389"
"NABIL","2017-01-10","1525","1551","1525","1538","1.25","3248"
"NABIL","2017-01-11","1560","1565","1540","1565","1.75","4054"
"NABIL","2017-01-12","1565","1565","1546","1560","-0.32","1982"
"NABIL","2017-01-15","1548","1550","1530","1540","-1.28","2316"
"NABIL","2017-01-16","1540","1540","1505","1508","-2.08","5298"
"NABIL","2017-01-17","1505","1525","1500","1505","-0.20","3743"
"NABIL","2017-01-18","1490","1512","1490","1504","-0.07","5013"
"NABIL","2017-01-19","1510","1515","1500","1500","-0.27","3585"
"NABIL","2017-01-22","1500","1515","1500","1506","0.40","2713"
"NABIL","2017-01-23","1515","1516","1500","1500","-0.40","2874"
"NABIL","2017-01-24","1491","1500","1481","1487","-0.87","2963"
"NABIL","2017-01-25","1459","1459","1426","1441","-3.09","7828"
"NABIL","2017-01-26","1420","1445","1400","1432","-0.62","4524"
"NABIL","2017-01-30","1425","1425","1350","1365","-4.68","6198"
"NABIL","2017-01-31","1338","1390","1304","1390","1.83","7174"
"NABIL","2017-02-01","1400","1450","1400","1442","3.74","5711"
"NABIL","2017-02-02","1470","1485","1440","1455","0.90","5462"
"NABIL","2017-02-05","1441","1480","1412","1460","0.00","4887"
"NABIL","2017-02-06","1455","1455","1420","1420","-2.40","3203"
"NABIL","2017-02-07","1422","1422","1400","1405","-1.06","7394"
"NABIL","2017-02-08","1420","1420","1382","1395","-0.71","6077"
"NABIL","2017-02-09","1390","1391","1370","1370","-1.79","4797"
"NABIL","2017-02-12","1343","1343","1295","1305","-4.74","11250"
"NABIL","2017-02-13","1305","1380","1275","1370","4.98","10589"
"NABIL","2017-02-14","1370","1375","1346","1360","-0.73","8847"
"NABIL","2017-02-15","1387","1412","1370","1412","3.82","6199"
"NABIL","2017-02-16","1433","1458","1415","1454","2.97","7357"
"NABIL","2017-02-19","1460","1500","1427","1496","2.75","7010"
"NABIL","2017-02-20","1519","1549","1510","1517","1.40","6929"
"NABIL","2017-02-21","1550","1550","1495","1515","-0.33","7723"
"NABIL","2017-02-22","1491","1505","1475","1485","-1.98","1883"
"NABIL","2017-02-23","1485","1485","1465","1471","-0.94","2710"
"NABIL","2017-02-26","1470","1470","1405","1405","-4.49","4770"
"NABIL","2017-02-28","1400","1400","1377","1395","-0.71","4357"
"NABIL","2017-03-01","1400","1407","1388","1400","0.36","8356"
"NABIL","2017-03-02","1402","1421","1401","1420","1.43","3487"
"NABIL","2017-03-05","1395","1461","1395","1450","2.11","5909"
"NABIL","2017-03-06","1460","1470","1451","1469","1.31","3287"
"NABIL","2017-03-07","1440","1450","1424","1435","-2.31","4045"
"NABIL","2017-03-09","1442","1463","1436","1436","0.07","3014"
"NABIL","2017-03-13","1440","1460","1435","1455","1.32","2366"
"NABIL","2017-03-14","1462","1465","1440","1449","-0.41","1385"
"NABIL","2017-03-15","1421","1449","1421","1440","-0.62","1235"
"NABIL","2017-03-16","1431","1449","1431","1440","0.00","3233"
"NABIL","2017-03-19","1440","1446","1430","1440","0.00","4640"
"NABIL","2017-03-20","1445","1465","1440","1460","1.39","10234"
"NABIL","2017-03-21","1468","1475","1450","1475","1.03","7625"
"NABIL","2017-03-22","1480","1538","1480","1481","0.41","12277"
"NABIL","2017-03-23","1490","1499","1465","1470","-0.74","8543"
"NABIL","2017-03-26","1499","1529","1480","1500","2.04","14931"
"NABIL","2017-03-28","1500","1581","1529","1575","5.00","9939"
"NABIL","2017-03-29","1575","1606","1550","1570","-0.32","18088"
"NABIL","2017-03-30","1570","1570","1541","1550","-1.27","9746"
"NABIL","2017-04-02","1580","1591","1560","1579","1.87","8810"
"NABIL","2017-04-03","1610","1716","1550","1577","-0.13","15195"
"NABIL","2017-04-04","1594","1594","1550","1580","0.19","8995"
"NABIL","2017-04-06","1580","1580","1556","1570","-0.63","5503"
"NABIL","2017-04-09","1575","1585","1539","1568","-0.13","4935"
"NABIL","2017-04-10","1560","1575","1550","1575","0.45","8280"
"NABIL","2017-04-11","1598","1628","1592","1600","1.59","9167"
"NABIL","2017-04-12","1632","1635","1592","1615","0.94","8132"
"NABIL","2017-04-13","1585","1600","1565","1590","-1.55","4916"
"NABIL","2017-04-16","1565","1590","1540","1556","-2.14","2911"
"NABIL","2017-04-18","1540","1556","1515","1515","-2.63","2972"
"NABIL","2017-04-19","1515","1545","1500","1540","1.65","3753"
"NABIL","2017-04-20","1540","1570","1540","1551","0.71","4148"
"NABIL","2017-04-23","1582","1650","1580","1600","3.16","7375"
"NABIL","2017-04-24","1580","1600","1575","1595","0.00","4041"
"NABIL","2017-04-25","1570","1596","1570","1590","-0.56","3009"
"NABIL","2017-04-26","1570","1579","1565","1574","-1.01","2038"
"NABIL","2017-04-27","1580","1581","1557","1580","0.38","3571"
"NABIL","2017-04-30","1550","1580","1545","1545","-2.22","6533"
"NABIL","2017-05-02","1540","1545","1535","1535","-0.65","2341"
"NABIL","2017-05-03","1565","1596","1560","1569","2.21","3461"
"NABIL","2017-05-04","1570","1570","1552","1560","-0.57","2743"
"NABIL","2017-05-07","1560","1560","1525","1535","-1.60","3218"
"NABIL","2017-05-08","1564","1564","1520","1540","0.33","2702"
"NABIL","2017-05-09","1540","1580","1550","1560","1.30","2023"
"NABIL","2017-05-11","1562","1570","1560","1560","0.00","2672"
"NABIL","2017-05-15","1575","1577","1560","1560","0.00","3167"
"NABIL","2017-05-16","1560","1560","1536","1558","-0.13","1888"
"NABIL","2017-05-17","1558","1560","1550","1560","0.13","2503"
"NABIL","2017-05-18","1560","1565","1540","1554","-0.38","5123"
"NABIL","2017-05-21","1535","1560","1535","1550","-0.26","1204"
"NABIL","2017-05-22","1545","1559","1535","1538","-0.97","1271"
"NABIL","2017-05-23","1549","1560","1540","1550","0.98","3558"
"NABIL","2017-05-24","1550","1557","1541","1557","0.45","3326"
"NABIL","2017-05-28","1550","1553","1535","1538","-1.22","4688"
"NABIL","2017-05-30","1531","1545","1499","1500","-2.54","4117"
"NABIL","2017-05-31","1499","1515","1490","1500","0.07","5049"
"NABIL","2017-06-01","1506","1525","1495","1500","0.00","8966"
"NABIL","2017-06-04","1501","1501","1470","1480","-1.33","8738"
"NABIL","2017-06-05","1509","1509","1480","1500","1.35","3695"
"NABIL","2017-06-06","1530","1530","1500","1519","1.27","8003"
"NABIL","2017-06-07","1540","1540","1514","1515","-0.26","10804"
"NABIL","2017-06-08","1505","1515","1500","1512","-0.20","3132"
"NABIL","2017-06-11","1512","1512","1470","1473","-2.64","6190"
"NABIL","2017-06-12","1451","1479","1451","1460","-0.82","9507"
"NABIL","2017-06-13","1460","1479","1455","1460","0.00","5712"
"NABIL","2017-06-14","1460","1460","1450","1452","-0.55","10596"
"NABIL","2017-06-15","1460","1504","1458","1480","1.93","4356"
"NABIL","2017-06-18","1480","1480","1453","1459","-1.42","3120"
"NABIL","2017-06-19","1460","1460","1445","1452","-0.62","6395"
"NABIL","2017-06-20","1451","1455","1436","1442","-0.55","4585"
"NABIL","2017-06-21","1450","1460","1450","1460","1.25","3699"
"NABIL","2017-06-22","1484","1484","1451","1452","-0.55","3172"
"NABIL","2017-06-25","1475","1490","1465","1489","2.55","3963"
"NABIL","2017-06-27","1495","1499","1485","1491","0.13","3543"
"NABIL","2017-06-28","1500","1500","1485","1499","0.54","4402"
"NABIL","2017-07-02","1499","1499","1460","1479","-1.33","3363"
"NABIL","2017-07-03","1479","1480","1470","1475","-0.27","2096"
"NABIL","2017-07-04","1479","1479","1472","1476","0.07","2778"
"NABIL","2017-07-05","1476","1485","1475","1475","-0.07","2783"
"NABIL","2017-07-06","1475","1500","1475","1500","1.69","3154"
"NABIL","2017-07-09","1500","1525","1490","1500","0.00","6988"
"NABIL","2017-07-10","1505","1505","1490","1493","-0.47","6071"
"NABIL","2017-07-11","1500","1510","1500","1506","0.87","3583"
"NABIL","2017-07-12","1510","1520","1510","1519","0.86","2244"
"NABIL","2017-07-13","1515","1525","1512","1523","0.26","2709"
"NABIL","2017-07-16","1515","1530","1500","1530","0.46","2912"
"NABIL","2017-07-17","1540","1599","1540","1597","4.38","11170"
"NABIL","2017-07-18","1600","1650","1599","1638","2.57","12310"
"NABIL","2017-07-19","1668","1670","1650","1658","1.22","12595"
"NABIL","2017-07-20","1669","1670","1656","1658","0.00","6554"
"NABIL","2017-07-23","1665","1665","1630","1635","-1.39","4811"
"NABIL","2017-07-24","1640","1650","1600","1610","-1.53","4650"
"NABIL","2017-07-25","1620","1620","1607","1612","0.12","5546"
"NABIL","2017-07-26","1613","1643","1612","1620","0.50","3897"
"NABIL","2017-07-27","1625","1640","1625","1627","0.43","4790"
"NABIL","2017-07-30","1610","1630","1610","1620","-0.43","3503"
"NABIL","2017-07-31","1626","1629","1620","1622","0.12","3329"
"NABIL","2017-08-01","1630","1642","1625","1635","0.80","3486"
"NABIL","2017-08-02","1640","1640","1630","1638","0.18","4095"
"NABIL","2017-08-03","1638","1675","1652","1667","1.77","15706"
"NABIL","2017-08-06","1700","1733","1700","1728","3.66","18127"
"NABIL","2017-08-07","1762","1773","1750","1768","2.31","17674"
"NABIL","2017-08-09","1775","1798","1775","1780","0.68","12288"
"NABIL","2017-08-10","1779","1779","1736","1758","-1.24","10168"
"NABIL","2017-08-13","1762","1769","1745","1750","-0.46","9970"
"NABIL","2017-08-15","1741","1749","1720","1720","-1.71","5048"
"NABIL","2017-08-16","1725","1735","1713","1718","-0.12","7982"
"NABIL","2017-08-17","1718","1751","1710","1737","1.11","10056"
"NABIL","2017-08-20","1740","1760","1732","1735","-0.12","5888"
"NABIL","2017-08-21","1730","1730","1715","1720","-0.86","3081"
"NABIL","2017-08-22","1720","1730","1717","1729","0.52","5422"
