"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICA","2018-11-26","407.63","411","405","410","0.58","9871"
"NICA","2018-11-27","410","416","409","411","0.24","12802"
"NICA","2018-11-28","411.11","413","403","407","-1.00","9895"
"NICA","2018-11-29","407.73","416","403","405","-0.67","11494"
"NICA","2018-12-02","405","413","398","400","-1.23","36901"
"NICA","2018-12-03","400","416","398","403","0.75","22920"
"NICA","2018-12-04","403","409","403","408","1.24","43586"
"NICA","2018-12-06","358","358","351","357","-0.28","22789"
"NICA","2018-12-09","357","375","355","375","5.04","23098"
"NICA","2018-12-10","375","385","375","382","1.87","20752"
"NICA","2018-12-11","382","385","374","375","-1.83","31606"
"NICA","2018-12-12","375","380","372","373","-0.53","5460"
"NICA","2018-12-13","373","381","373","378","1.34","30932"
"NICA","2018-12-16","378","388","378","383","1.32","23739"
"NICA","2018-12-17","383","388","380","388","1.31","33325"
"NICA","2018-12-18","388","390","376","380","-2.06","55370"
"NICA","2018-12-19","380","383","378","380","0.00","28505"
"NICA","2018-12-20","380","386","380","380","0.00","43983"
"NICA","2018-12-23","380","394","380","392","3.16","46394"
"NICA","2018-12-24","392","395","386","386","-1.53","29532"
"NICA","2018-12-25","386","386","380","383","-0.78","22912"
"NICA","2018-12-26","381","396","381","395","3.67","35578"
"NICA","2018-12-27","395","400","388","389","-1.52","21635"
"NICA","2018-12-30","389","389","384","387","-0.51","15441"
"NICA","2018-12-31","387","387","377","377","-2.58","14689"
"NICA","2019-01-01","377","383","377","380","0.80","7155"
"NICA","2019-01-02","380","382","378","382","0.53","19408"
"NICA","2019-01-03","382","385","381","383","0.26","8316"
"NICA","2019-01-06","383","383","377","377","-1.57","9575"
"NICA","2019-01-07","377","383","377","379","0.53","17398"
"NICA","2019-01-08","379","384","379","382","0.79","26447"
"NICA","2019-01-09","382","392","382","388","1.57","43470"
"NICA","2019-01-10","388","390","385","390","0.52","28615"
"NICA","2019-01-13","390","392","383","384","-1.54","74495"
"NICA","2019-01-14","384","390","384","386","0.52","8106"
"NICA","2019-01-15","386","392","386","390","1.04","15949"
"NICA","2019-01-16","390","401","390","398","2.05","77989"
"NICA","2019-01-17","398","401","395","396","-0.50","27748"
"NICA","2019-01-20","396","397","392","392","-1.01","5752"
"NICA","2019-01-21","392","399","389","389","-0.77","17919"
"NICA","2019-01-22","389","392","389","390","0.26","7735"
"NICA","2019-01-23","390","394","390","392","0.51","8939"
"NICA","2019-01-24","392","396","391","392","0.00","20113"
"NICA","2019-01-27","392","392","389","391","-0.26","27179"
"NICA","2019-01-28","391","394","391","393","0.51","12704"
"NICA","2019-01-29","393","393","389","390","-0.76","24692"
"NICA","2019-01-30","390","392","390","392","0.51","23118"
"NICA","2019-01-31","392","394","390","391","-0.26","11447"
"NICA","2019-02-03","394","395","390","390","-0.26","22031"
"NICA","2019-02-04","391","392","388","389","-0.26","31537"
"NICA","2019-02-05","391","394","389","389","0.00","14198"
"NICA","2019-02-06","384","390","384","387","-0.51","12115"
"NICA","2019-02-07","386","390","385","390","0.78","9862"
"NICA","2019-02-10","389","391","382","385","-1.28","20647"
"NICA","2019-02-11","381","387","381","386","0.26","10406"
"NICA","2019-02-12","393","393","384","386","0.00","11167"
"NICA","2019-02-13","388","392","384","384","-0.52","15606"
"NICA","2019-02-14","382","389","380","384","0.00","17211"
"NICA","2019-02-17","387","388","383","387","0.78","13443"
"NICA","2019-02-18","385","387","383","385","-0.52","13348"
"NICA","2019-02-19","389","389","385","389","1.04","10351"
"NICA","2019-02-20","395","395","385","387","-0.51","6553"
"NICA","2019-02-21","388","388","382","384","-0.78","13521"
"NICA","2019-02-24","385","385","368","370","-3.65","36648"
"NICA","2019-02-25","370","377","370","374","1.08","16761"
"NICA","2019-02-26","374","380","373","376","0.53","9932"
"NICA","2019-02-27","375","382","375","378","0.53","7888"
"NICA","2019-03-03","380","380","377","378","0.00","13490"
"NICA","2019-03-05","378","382","377","381","0.79","31858"
"NICA","2019-03-06","380","386","378","385","1.05","22986"
"NICA","2019-03-07","385","392","385","391","1.56","26697"
"NICA","2019-03-09","392","396","385","395","1.02","10053"
"NICA","2019-03-10","392","396","385","395","1.02","10053"
"NICA","2019-03-11","399","400","393","400","1.52","55606"
"NICA","2019-03-12","403","404","397","401","0.25","48752"
"NICA","2019-03-13","405","405","396","398","-0.75","31796"
"NICA","2019-03-14","395","400","395","399","0.00","20294"
"NICA","2019-03-17","401","405","400","401","0.50","38412"
"NICA","2019-03-18","400","402","397","398","-0.75","21236"
"NICA","2019-03-19","402","402","398","399","0.25","3790"
"NICA","2019-03-21","397","399","395","395","-1.00","22176"
"NICA","2019-03-24","393","399","393","396","0.25","11361"
"NICA","2019-03-25","394","400","394","398","0.51","8113"
"NICA","2019-03-26","398","400","395","398","0.00","15558"
"NICA","2019-03-27","398","400","397","398","0.00","13921"
"NICA","2019-03-28","403","403","396","398","0.00","15408"
"NICA","2019-03-31","401","402","399","400","0.50","24402"
"NICA","2019-04-01","404","410","400","410","2.50","54571"
"NICA","2019-04-02","412","426","410","426","3.90","89445"
"NICA","2019-04-03","428","439","421","436","2.35","101042"
"NICA","2019-04-04","440","444","431","440","0.92","107396"
"NICA","2019-04-07","443","472","439","468","6.36","147987"
"NICA","2019-04-08","468","478","462","466","-0.43","161971"
"NICA","2019-04-09","470","471","456","458","-1.72","116366"
"NICA","2019-04-10","463","469","457","466","1.75","63030"
"NICA","2019-04-11","466","471","465","469","0.64","54800"
"NICA","2019-04-15","466","473","466","470","0.21","39084"
"NICA","2019-04-16","471","498","470","492","4.68","106050"
"NICA","2019-04-17","492","498","484","487","-1.02","92921"
"NICA","2019-04-18","489","493","481","482","-1.03","60312"
"NICA","2019-04-21","490","495","478","494","2.49","94558"
"NICA","2019-04-22","494","500","483","484","-2.02","79167"
"NICA","2019-04-23","478","495","478","490","1.24","58722"
"NICA","2019-04-24","490","508","490","506","3.27","128530"
"NICA","2019-04-25","508","515","502","507","0.20","88888"
"NICA","2019-04-28","512","512","501","502","-0.99","84179"
"NICA","2019-04-29","498","502","495","496","-1.20","62052"
"NICA","2019-04-30","497","500","492","495","-0.20","23369"
"NICA","2019-05-02","492","495","488","491","-0.81","31276"
"NICA","2019-05-05","487","490","483","483","-1.63","35721"
"NICA","2019-05-06","480","496","480","496","2.69","39149"
"NICA","2019-05-07","490","502","484","494","-0.40","33241"
